EmployeeNumber,Age,Gender,Department,JobRole,DistanceFromHome,MonthlyIncome,Education,EnvironmentSatisfaction,JobInvolvement,JobSatisfaction,PerformanceRating,RelationshipSatisfaction,WorkLifeBalance,Attrition,OverTime,MaritalStatus,BusinessTravel,YearsAtCompany,YearsInCurrentRole,YearsWithCurrManager,TotalWorkingYears,TrainingTimesLastYear,NumCompaniesWorked,StockOptionLevel
47,50,Male,Sales,Sales Representative,3,2683,2,1,2,3,3,3,3,Yes,Yes,Married,Travel_Rarely,3,2,2,3,2,1,0
49,35,Female,Sales,Sales Representative,2,2014,3,4,3,4,3,1,3,No,No,Married,Travel_Rarely,2,2,2,2,3,1,0
51,36,Female,Research & Development,Research Scientist,5,3419,4,2,2,1,3,4,4,No,Yes,Married,Travel_Rarely,1,1,0,6,3,9,1
52,33,Female,Sales,Sales Executive,1,5376,3,3,4,1,3,1,3,No,No,Married,Travel_Frequently,5,3,3,10,3,2,2
53,35,Male,Research & Development,Laboratory Technician,4,1951,2,3,3,4,3,3,3,No,No,Divorced,Travel_Rarely,1,0,0,1,3,1,1
54,27,Female,Research & Development,Laboratory Technician,2,2341,4,4,3,1,3,4,3,No,No,Divorced,Travel_Rarely,1,0,0,1,6,1,1
55,26,Male,Research & Development,Laboratory Technician,25,2293,3,1,1,3,3,3,2,Yes,No,Single,Travel_Rarely,1,0,1,1,2,1,0
56,27,Male,Sales,Sales Executive,8,8726,3,4,3,3,3,4,3,No,No,Single,Travel_Frequently,9,8,7,9,0,1,0
57,30,Female,Research & Development,Laboratory Technician,1,4011,2,3,3,4,4,4,3,No,No,Single,Travel_Frequently,12,8,7,12,2,1,0
58,41,Female,Research & Development,Research Director,12,19545,3,2,3,3,3,4,3,Yes,No,Married,Travel_Rarely,22,15,8,23,0,1,0
60,34,Male,Sales,Sales Executive,23,4568,4,2,3,3,4,3,3,No,No,Single,Non-Travel,9,5,7,10,2,0,0
61,37,Male,Research & Development,Research Scientist,19,3022,2,2,3,2,4,1,3,No,No,Married,Travel_Rarely,1,0,0,8,1,4,0
62,46,Male,Sales,Sales Executive,5,5772,4,1,3,4,4,3,3,No,Yes,Single,Travel_Frequently,9,6,8,14,4,4,0
63,35,Male,Research & Development,Laboratory Technician,8,2269,1,4,4,4,3,4,3,No,No,Married,Travel_Rarely,1,0,1,1,2,1,0
64,48,Male,Research & Development,Laboratory Technician,1,5381,2,1,2,3,3,4,3,Yes,Yes,Single,Travel_Rarely,1,0,0,23,2,9,0
65,28,Male,Research & Development,Laboratory Technician,5,3441,4,3,3,3,3,3,2,Yes,Yes,Single,Travel_Rarely,2,2,2,2,3,1,0
68,44,Female,Sales,Sales Executive,1,5454,5,2,3,1,4,3,2,No,Yes,Divorced,Travel_Rarely,4,3,3,9,2,5,1
70,35,Male,Research & Development,Healthcare Representative,11,9884,2,3,2,1,3,3,3,No,Yes,Married,Non-Travel,4,0,3,10,3,2,1
72,26,Female,Sales,Sales Executive,23,4157,3,3,2,4,3,3,2,No,Yes,Married,Travel_Rarely,2,2,0,5,2,7,1
73,33,Female,Research & Development,Research Director,1,13458,2,1,3,4,3,3,3,No,Yes,Single,Travel_Frequently,15,14,12,15,1,1,0
74,35,Male,Sales,Sales Executive,18,9069,5,2,3,1,4,4,2,No,No,Married,Travel_Frequently,9,8,8,9,3,1,1
75,35,Female,Research & Development,Laboratory Technician,23,4014,4,3,3,1,3,3,3,No,Yes,Married,Travel_Rarely,2,2,2,4,3,3,1
76,31,Male,Research & Development,Laboratory Technician,7,5915,4,4,3,4,4,4,2,No,No,Divorced,Travel_Rarely,7,7,7,10,3,3,1
77,37,Male,Research & Development,Manufacturing Director,1,5993,4,1,2,3,3,3,4,No,No,Divorced,Travel_Rarely,7,5,7,7,2,1,1
78,32,Male,Research & Development,Manufacturing Director,1,6162,3,1,3,4,4,2,3,No,Yes,Married,Travel_Rarely,9,8,8,9,3,1,1
79,38,Female,Research & Development,Laboratory Technician,29,2406,5,4,3,4,3,4,3,No,No,Single,Travel_Frequently,10,3,9,10,2,1,0
80,50,Female,Research & Development,Research Director,7,18740,2,2,2,3,3,4,2,No,Yes,Divorced,Travel_Rarely,27,3,8,29,2,5,1
81,59,Female,Sales,Sales Executive,25,7637,3,1,3,1,3,4,2,No,No,Single,Travel_Rarely,21,16,9,28,3,7,0
83,36,Female,Research & Development,Healthcare Representative,8,10096,3,3,3,3,3,2,3,No,No,Divorced,Travel_Rarely,17,14,8,17,2,1,3
84,55,Female,Research & Development,Manager,8,14756,3,4,3,3,3,3,3,No,Yes,Divorced,Travel_Rarely,5,0,2,21,2,2,3
85,36,Male,Research & Development,Manufacturing Director,11,6499,3,2,2,2,3,3,3,No,No,Single,Travel_Frequently,6,5,3,6,3,1,0
86,45,Male,Research & Development,Research Scientist,7,9724,3,2,3,1,3,3,3,No,No,Divorced,Travel_Rarely,1,0,0,25,2,2,1
88,35,Male,Research & Development,Research Scientist,1,2194,3,2,3,1,3,4,2,No,No,Married,Travel_Frequently,3,2,2,5,2,4,1
90,36,Male,Research & Development,Research Scientist,9,3388,3,4,2,3,3,1,2,Yes,Yes,Married,Travel_Rarely,1,0,0,2,0,0,1
91,59,Female,Sales,Sales Executive,1,5473,1,1,2,3,3,4,2,No,No,Single,Travel_Frequently,4,3,3,20,2,7,0
94,29,Male,Research & Development,Research Scientist,2,2703,3,3,3,2,4,4,3,No,No,Married,Travel_Rarely,5,4,4,6,3,0,1
95,31,Male,Research & Development,Research Scientist,1,2501,4,3,3,2,3,2,3,No,No,Single,Travel_Rarely,1,1,0,1,4,1,0
96,32,Male,Research & Development,Research Scientist,1,6220,3,2,3,2,3,2,3,No,No,Married,Travel_Rarely,10,4,9,10,3,1,2
97,36,Female,Research & Development,Laboratory Technician,6,3038,3,2,4,4,3,2,3,No,No,Married,Travel_Rarely,1,0,0,5,3,3,0
98,31,Female,Research & Development,Manufacturing Director,8,4424,4,3,3,4,4,4,3,No,No,Single,Travel_Rarely,11,7,8,11,2,1,0
100,35,Male,Sales,Sales Executive,1,4312,4,3,2,1,3,2,3,No,No,Single,Travel_Rarely,15,13,8,16,2,0,0
101,45,Male,Research & Development,Research Director,6,13245,4,4,3,1,3,2,4,No,Yes,Married,Travel_Rarely,0,0,0,17,3,4,0
102,37,Male,Research & Development,Research Director,7,13664,4,1,3,3,3,1,4,No,No,Single,Travel_Rarely,5,2,2,16,3,4,0
103,46,Male,Human Resources,Human Resources,5,5021,2,2,3,2,4,4,3,No,Yes,Divorced,Travel_Rarely,4,2,2,16,2,8,1
104,30,Male,Research & Development,Laboratory Technician,1,5126,1,4,2,4,3,3,2,No,Yes,Married,Travel_Rarely,10,8,0,10,1,1,2
105,35,Male,Research & Development,Research Scientist,1,2859,3,2,2,3,3,1,3,No,No,Single,Travel_Rarely,6,4,4,6,3,1,0
106,55,Male,Sales,Sales Executive,1,10239,2,1,3,4,3,4,3,No,No,Married,Travel_Rarely,1,0,0,24,4,3,1
107,38,Female,Research & Development,Research Scientist,6,5329,3,2,1,4,3,4,3,No,Yes,Divorced,Non-Travel,13,11,9,17,3,7,3
110,34,Male,Research & Development,Manufacturing Director,1,4325,2,1,3,2,3,3,3,No,No,Married,Travel_Rarely,5,2,3,5,2,1,0
112,56,Male,Research & Development,Manufacturing Director,7,7260,3,4,1,4,3,1,2,No,No,Single,Travel_Rarely,6,4,2,37,3,4,0
113,23,Male,Sales,Sales Representative,2,2322,1,3,3,1,3,3,3,No,No,Divorced,Travel_Rarely,0,0,0,3,3,3,1
116,51,Male,Research & Development,Laboratory Technician,9,2075,4,4,3,4,4,2,3,No,No,Married,Travel_Rarely,4,2,3,10,4,3,2
117,30,Male,Research & Development,Healthcare Representative,2,4152,3,3,2,4,3,1,3,No,No,Married,Travel_Rarely,11,10,8,11,3,1,3
118,46,Male,Sales,Sales Executive,9,9619,2,3,2,4,3,4,3,Yes,No,Single,Travel_Rarely,9,8,7,9,3,1,0
119,40,Male,Research & Development,Healthcare Representative,1,13503,4,3,2,2,4,4,2,No,No,Married,Travel_Frequently,22,3,11,22,3,1,1
120,51,Male,Sales,Sales Executive,21,5441,4,3,3,4,4,4,1,No,Yes,Single,Travel_Rarely,10,7,0,11,2,0,0
121,30,Female,Sales,Sales Executive,4,5209,2,3,2,2,3,2,2,No,Yes,Divorced,Travel_Rarely,11,8,7,11,4,1,3
124,46,Male,Research & Development,Healthcare Representative,1,10673,3,3,2,1,3,3,2,No,Yes,Married,Travel_Frequently,10,9,5,21,5,2,1
125,32,Male,Sales,Sales Executive,6,5010,4,2,3,3,3,1,3,No,No,Single,Travel_Rarely,11,8,7,12,0,1,0
126,54,Female,Research & Development,Research Director,2,13549,4,1,3,3,3,1,1,No,No,Married,Travel_Rarely,4,3,3,16,5,9,1
128,24,Female,Sales,Sales Executive,3,4999,2,1,3,3,4,1,2,No,No,Married,Travel_Rarely,3,2,2,4,2,0,1
129,28,Male,Sales,Sales Executive,4,4221,3,2,3,3,3,2,4,No,No,Married,Non-Travel,5,4,4,5,3,1,0
131,58,Male,Sales,Sales Executive,10,13872,4,4,3,3,3,3,2,No,No,Single,Travel_Rarely,37,10,8,38,1,0,0
132,44,Male,Research & Development,Laboratory Technician,23,2042,3,2,3,2,3,3,4,No,No,Married,Non-Travel,3,2,2,17,3,4,1
133,37,Male,Human Resources,Human Resources,6,2073,4,3,3,1,4,4,3,Yes,Yes,Divorced,Travel_Rarely,3,2,2,7,3,4,0
134,32,Male,Research & Development,Research Scientist,1,2956,1,4,3,1,3,4,3,No,No,Single,Travel_Rarely,1,0,0,1,2,1,0
137,20,Female,Research & Development,Laboratory Technician,6,2926,3,4,2,4,3,2,3,Yes,Yes,Single,Travel_Frequently,1,0,0,1,5,1,0
138,34,Female,Research & Development,Research Scientist,6,4809,4,1,3,3,3,3,3,No,No,Single,Travel_Rarely,16,13,10,16,3,1,0
139,37,Male,Research & Development,Healthcare Representative,2,5163,2,3,2,4,3,4,4,No,No,Divorced,Non-Travel,1,0,0,17,2,5,1
140,59,Female,Human Resources,Manager,2,18844,4,3,2,4,4,4,3,No,No,Married,Non-Travel,3,2,2,30,3,9,1
141,50,Female,Research & Development,Research Director,1,18172,3,1,3,2,3,1,2,No,Yes,Married,Travel_Frequently,8,3,7,28,1,3,0
142,25,Male,Sales,Sales Executive,5,5744,3,3,2,3,3,4,3,Yes,Yes,Single,Travel_Rarely,6,4,3,6,1,1,0
143,25,Male,Research & Development,Research Scientist,7,2889,1,4,2,4,3,3,3,No,No,Married,Travel_Rarely,2,2,1,2,2,1,2
144,22,Female,Research & Development,Laboratory Technician,15,2871,3,2,3,4,3,3,3,No,No,Single,Travel_Rarely,0,0,0,1,5,1,0
145,51,Female,Research & Development,Healthcare Representative,1,7484,4,1,2,1,4,3,2,No,No,Single,Travel_Frequently,13,12,8,23,1,3,0
147,34,Male,Research & Development,Laboratory Technician,7,6074,3,1,1,3,4,4,3,Yes,Yes,Single,Travel_Frequently,9,7,6,9,3,1,0
148,54,Female,Human Resources,Manager,26,17328,3,4,4,4,3,3,3,No,Yes,Single,Non-Travel,5,3,4,23,3,2,0
150,24,Male,Research & Development,Laboratory Technician,18,2774,1,2,3,3,3,3,3,No,No,Married,Travel_Rarely,5,3,2,6,2,0,1
151,34,Female,Research & Development,Research Scientist,6,4505,4,3,2,2,3,3,3,No,No,Divorced,Travel_Rarely,1,0,0,12,3,6,1
152,37,Male,Sales,Sales Executive,3,7428,3,3,3,4,3,1,3,No,No,Single,Travel_Rarely,5,3,3,12,3,2,0
153,34,Female,Research & Development,Manager,5,11631,3,3,2,1,3,4,3,No,No,Single,Travel_Rarely,11,10,8,14,6,2,0
154,36,Female,Sales,Sales Executive,11,9738,2,2,3,4,3,3,3,No,No,Married,Travel_Frequently,9,7,8,10,6,0,1
155,36,Female,Research & Development,Laboratory Technician,3,2835,2,1,3,4,4,1,3,No,No,Divorced,Travel_Rarely,1,0,0,7,2,5,1
158,43,Male,Sales,Manager,26,16959,2,3,3,4,3,4,4,No,Yes,Married,Travel_Frequently,25,12,12,25,3,1,2
159,30,Male,Research & Development,Research Scientist,23,2613,3,1,1,3,4,3,2,No,No,Divorced,Travel_Frequently,10,7,9,10,2,1,3
160,33,Male,Sales,Sales Executive,22,6146,2,3,3,2,3,1,4,No,No,Married,Non-Travel,7,7,7,8,2,0,1
161,56,Female,Research & Development,Research Scientist,14,4963,4,2,3,2,3,1,3,Yes,Yes,Married,Travel_Rarely,5,4,3,7,2,9,3
162,51,Male,Research & Development,Research Director,6,19537,3,1,3,3,3,3,3,No,No,Single,Travel_Rarely,20,18,15,23,5,7,0
163,31,Male,Sales,Sales Executive,6,6172,4,2,1,3,3,2,2,Yes,Yes,Married,Travel_Rarely,7,7,7,12,3,4,0
164,26,Female,Research & Development,Research Scientist,6,2368,3,3,2,2,3,3,2,No,No,Married,Travel_Rarely,5,4,3,5,3,1,0
165,58,Female,Research & Development,Healthcare Representative,23,10312,4,4,3,4,3,4,2,Yes,No,Married,Travel_Rarely,40,10,6,40,3,1,1
167,19,Male,Sales,Sales Representative,22,1675,1,4,3,3,3,4,2,Yes,Yes,Single,Travel_Rarely,0,0,0,0,2,1,0
169,22,Male,Research & Development,Laboratory Technician,2,2523,1,3,3,4,3,3,3,No,No,Married,Travel_Rarely,2,1,1,3,2,0,1
170,49,Female,Research & Development,Manufacturing Director,20,6567,4,3,3,1,3,3,2,No,No,Married,Travel_Rarely,15,11,11,16,2,1,0
171,43,Female,Research & Development,Research Scientist,28,4739,3,2,4,3,3,4,3,No,No,Single,Travel_Frequently,3,2,2,18,2,4,0
174,50,Female,Sales,Sales Executive,12,9208,3,3,3,4,3,4,3,No,No,Single,Travel_Frequently,2,2,1,16,3,4,0
175,31,Female,Sales,Sales Executive,20,4559,3,2,1,3,3,3,3,Yes,Yes,Married,Travel_Rarely,2,2,2,4,2,3,1
176,41,Male,Sales,Sales Executive,9,8189,1,3,3,3,3,3,3,No,Yes,Divorced,Travel_Rarely,9,7,7,12,2,3,1
177,26,Female,Human Resources,Human Resources,25,2942,1,3,3,3,4,4,3,No,No,Married,Travel_Rarely,8,7,7,8,3,1,1
178,36,Male,Research & Development,Manufacturing Director,6,4941,2,2,3,2,4,4,3,No,No,Divorced,Travel_Rarely,3,2,1,7,0,6,2
179,51,Male,Research & Development,Manufacturing Director,8,10650,4,1,1,4,3,4,3,Yes,No,Single,Travel_Frequently,4,2,3,18,2,2,0
182,39,Female,Sales,Sales Executive,4,5902,4,4,2,3,3,3,4,No,No,Married,Travel_Rarely,15,11,9,17,1,4,1
183,25,Male,Sales,Sales Executive,28,8639,3,1,2,3,3,4,3,No,No,Married,Travel_Rarely,2,2,2,6,3,2,0
184,30,Male,Human Resources,Human Resources,9,6347,3,3,3,4,3,4,1,No,Yes,Married,Travel_Rarely,11,9,7,12,2,0,0
190,32,Female,Research & Development,Laboratory Technician,9,4200,3,1,3,1,4,1,4,Yes,No,Single,Travel_Rarely,5,4,4,10,2,7,0
192,45,Male,Research & Development,Research Scientist,29,3452,3,3,3,4,3,2,2,No,No,Single,Travel_Rarely,6,5,3,9,2,5,0
193,38,Female,Research & Development,Research Scientist,3,4317,5,4,3,3,4,2,3,No,Yes,Single,Travel_Rarely,3,2,2,19,2,3,0
194,30,Female,Research & Development,Research Scientist,18,2632,3,1,3,3,3,3,2,No,No,Single,Travel_Rarely,5,4,4,5,4,1,0
195,32,Male,Sales,Sales Executive,9,4668,2,4,1,4,3,4,4,No,No,Divorced,Travel_Frequently,8,7,7,9,2,0,3
197,30,Female,Research & Development,Research Scientist,5,3204,3,4,3,1,3,4,3,No,No,Divorced,Travel_Rarely,3,2,2,8,3,5,1
198,30,Male,Research & Development,Laboratory Technician,2,2720,1,2,2,4,3,4,3,No,No,Single,Travel_Rarely,5,3,2,6,3,0,0
199,41,Male,Research & Development,Manager,10,17181,3,4,2,1,3,2,2,No,No,Divorced,Travel_Frequently,7,6,7,21,2,4,1
200,41,Male,Research & Development,Laboratory Technician,9,2238,4,3,3,1,4,4,3,No,No,Married,Travel_Rarely,5,0,4,7,2,2,1
201,19,Female,Research & Development,Laboratory Technician,3,1483,1,2,3,2,3,4,3,No,No,Single,Travel_Rarely,1,0,0,1,3,1,0
202,40,Female,Research & Development,Research Scientist,26,5605,3,2,3,2,3,1,3,No,No,Divorced,Travel_Frequently,20,7,13,20,2,1,1
204,35,Male,Sales,Sales Executive,1,7295,5,3,3,2,3,1,3,No,No,Married,Travel_Rarely,10,8,6,10,3,1,2
205,53,Male,Sales,Sales Representative,6,2306,2,2,3,3,4,4,1,No,Yes,Married,Travel_Rarely,7,7,5,13,3,2,1
206,45,Male,Research & Development,Laboratory Technician,9,2348,3,2,3,2,3,3,1,No,No,Divorced,Travel_Rarely,17,9,15,20,2,8,1
207,32,Female,Sales,Sales Executive,8,8998,3,2,3,4,3,4,3,No,No,Single,Travel_Frequently,9,8,7,9,2,1,0
208,29,Male,Research & Development,Manufacturing Director,1,4319,1,4,3,3,3,1,3,No,No,Married,Non-Travel,10,7,9,10,1,1,1
211,51,Male,Research & Development,Manufacturing Director,7,6132,4,2,2,3,3,3,3,No,No,Married,Travel_Rarely,1,0,0,10,2,2,0
214,58,Female,Research & Development,Research Scientist,9,3346,3,2,2,2,4,2,2,No,Yes,Married,Travel_Rarely,1,0,0,9,3,4,1
215,40,Male,Sales,Sales Executive,4,10855,4,3,2,4,3,1,2,No,No,Married,Travel_Rarely,12,11,11,15,2,7,1
216,34,Female,Sales,Sales Representative,2,2231,4,3,3,3,3,4,3,No,No,Married,Travel_Frequently,4,3,2,6,3,6,1
217,22,Male,Research & Development,Research Scientist,19,2323,1,3,3,4,4,1,3,No,No,Married,Travel_Rarely,2,2,2,2,6,1,2
218,27,Male,Research & Development,Research Scientist,9,2024,3,4,3,2,3,4,1,No,No,Divorced,Non-Travel,2,2,2,6,1,6,1
221,28,Male,Research & Development,Research Scientist,21,2713,3,3,3,4,3,3,1,No,No,Married,Travel_Rarely,5,2,2,5,2,1,1
223,57,Male,Research & Development,Healthcare Representative,24,9439,2,3,4,4,3,2,1,No,Yes,Divorced,Travel_Rarely,5,3,4,12,2,3,1
224,27,Male,Research & Development,Research Scientist,3,2566,3,3,2,3,3,4,2,No,Yes,Divorced,Non-Travel,1,1,1,1,2,1,1
226,50,Female,Research & Development,Manager,11,19926,3,3,3,2,3,2,3,No,No,Single,Travel_Rarely,5,4,4,21,5,3,0
227,41,Male,Research & Development,Research Scientist,14,2451,3,1,3,3,3,1,3,No,No,Divorced,Travel_Rarely,9,8,8,13,2,4,1
228,30,Female,Sales,Sales Executive,5,9419,3,2,3,4,3,3,3,No,No,Married,Travel_Rarely,10,9,4,12,2,2,1
230,38,Female,Sales,Sales Executive,1,8686,4,1,2,4,4,3,4,No,No,Single,Travel_Rarely,8,3,7,12,2,4,0
231,32,Male,Research & Development,Research Scientist,6,3038,5,3,3,3,4,1,3,No,No,Single,Travel_Rarely,5,4,4,8,2,3,0
233,27,Male,Research & Development,Research Scientist,17,3058,3,3,3,2,3,4,2,No,Yes,Married,Travel_Rarely,5,2,1,6,3,0,1
235,19,Female,Sales,Sales Representative,1,2325,1,3,1,1,4,1,4,Yes,No,Single,Travel_Frequently,0,0,0,1,5,0,0
238,36,Male,Research & Development,Laboratory Technician,3,2088,2,4,3,2,3,3,2,No,No,Single,Travel_Frequently,8,7,2,13,3,4,0
239,30,Male,Research & Development,Laboratory Technician,9,3072,3,3,3,1,3,3,3,No,No,Divorced,Non-Travel,12,9,10,12,4,1,2
240,45,Female,Sales,Sales Executive,4,5006,2,3,3,1,3,1,4,No,Yes,Divorced,Travel_Rarely,5,4,3,9,3,4,1
241,56,Female,Research & Development,Research Scientist,8,4257,3,3,3,1,3,3,3,No,Yes,Divorced,Travel_Rarely,2,2,2,19,3,4,1
242,33,Male,Research & Development,Research Scientist,2,2500,3,3,3,4,3,1,4,No,No,Single,Travel_Rarely,3,1,2,4,2,0,0
243,19,Male,Research & Development,Laboratory Technician,2,1102,3,2,2,4,4,3,2,Yes,No,Single,Travel_Rarely,1,0,0,1,3,1,0
244,46,Female,Sales,Sales Executive,1,10453,2,2,3,1,4,3,3,No,No,Divorced,Travel_Rarely,24,13,7,24,2,1,3
245,38,Female,Research & Development,Laboratory Technician,9,2288,2,3,3,4,3,3,3,No,No,Single,Travel_Rarely,2,2,1,2,3,1,0
246,31,Female,Research & Development,Research Scientist,12,3929,1,3,3,4,4,3,3,No,Yes,Married,Travel_Rarely,4,2,2,7,0,8,1
247,34,Female,Research & Development,Research Scientist,27,2311,2,4,3,2,3,4,3,No,No,Single,Travel_Rarely,3,2,2,9,3,2,0
248,41,Female,Sales,Sales Representative,20,3140,2,2,3,2,4,4,2,Yes,Yes,Single,Travel_Rarely,4,3,2,4,5,1,0
249,50,Male,Research & Development,Laboratory Technician,1,3690,3,3,2,3,3,4,2,No,No,Married,Travel_Rarely,3,2,2,5,2,2,1
250,53,Female,Research & Development,Manufacturing Director,13,4450,2,4,4,1,3,3,3,No,No,Divorced,Travel_Rarely,4,2,3,5,3,1,2
252,33,Female,Research & Development,Research Scientist,14,2756,3,4,3,2,3,4,3,No,No,Married,Travel_Rarely,8,7,6,8,5,1,1
253,40,Female,Research & Development,Manager,4,19033,1,4,3,3,3,2,3,No,No,Married,Travel_Rarely,20,8,9,21,2,1,1
254,55,Male,Research & Development,Research Director,14,18722,4,3,4,2,3,4,3,No,No,Single,Travel_Rarely,24,15,15,36,3,8,0
256,34,Male,Research & Development,Manufacturing Director,2,9547,1,4,2,3,3,3,2,No,No,Married,Travel_Frequently,10,9,9,10,2,1,0
258,51,Female,Research & Development,Healthcare Representative,3,13734,3,4,3,2,3,3,3,No,No,Single,Travel_Rarely,7,7,0,21,6,3,0
259,52,Male,Research & Development,Manager,1,19999,4,3,2,3,3,1,3,No,No,Married,Travel_Rarely,33,18,9,34,5,0,1
260,27,Female,Research & Development,Research Scientist,9,2279,3,4,3,2,3,4,2,No,No,Single,Travel_Rarely,7,7,3,7,2,1,0
261,35,Male,Research & Development,Manufacturing Director,23,5916,2,2,2,3,3,1,3,Yes,Yes,Married,Travel_Rarely,1,0,1,8,1,3,0
